id_client,genre,age,permis_conduire,code_regional,ancien_assure,age_vehicule,vehicule_endommage,prime_annuelle,canal_communication,anciennete,proba,prediction
381121,male,64,1,28.0,0,> 2 ans,oui,32051.0,124.0,254,0.68706113,0
381124,femelle,55,1,48.0,0,1-2 an,oui,2630.0,124.0,169,0.62787396,0
381126,male,25,1,24.0,0,< 1 an,oui,42660.0,152.0,207,0.6302097,0
381134,male,58,1,28.0,0,1-2 an,oui,41016.0,24.0,201,0.62792075,0
381140,femelle,70,1,8.0,0,1-2 an,oui,36804.0,124.0,256,0.4757501,0
381144,femelle,24,1,24.0,0,< 1 an,oui,24096.0,152.0,270,0.5724229,0
381159,male,61,1,48.0,0,1-2 an,oui,2630.0,124.0,32,0.5580988,0
381165,male,26,1,7.0,0,< 1 an,oui,43937.0,152.0,260,0.6302097,0
381166,male,23,1,28.0,0,< 1 an,oui,40715.0,156.0,45,0.68078285,0
381173,male,22,1,37.0,0,< 1 an,oui,31550.0,152.0,60,0.44214806,0
381178,femelle,23,1,24.0,0,< 1 an,oui,25983.0,26.0,239,0.67456335,0
381188,male,65,1,3.0,0,1-2 an,oui,29227.0,26.0,193,0.67288107,0
381191,femelle,53,1,48.0,0,1-2 an,oui,2630.0,26.0,272,0.6728351,0
381192,male,20,1,28.0,0,1-2 an,oui,47215.0,26.0,235,0.57069623,0
381194,femelle,21,1,4.0,0,1-2 an,oui,22998.0,124.0,209,0.6214253,0
381195,femelle,23,1,8.0,0,< 1 an,oui,48697.0,152.0,220,0.38906157,0
381198,male,38,1,27.0,0,1-2 an,oui,24560.0,152.0,30,0.5753405,0
381204,femelle,26,1,27.0,0,< 1 an,oui,2630.0,152.0,171,0.40480202,0
381210,femelle,60,1,28.0,0,1-2 an,oui,39325.0,124.0,251,0.6372206,0
381214,male,57,1,31.0,0,1-2 an,oui,2630.0,124.0,275,0.639342,0
381215,male,67,1,45.0,0,1-2 an,oui,2630.0,152.0,113,0.3948126,0
381219,male,69,1,8.0,0,1-2 an,oui,2630.0,157.0,231,0.6024004,0
381224,femelle,49,1,33.0,0,1-2 an,oui,2630.0,160.0,198,0.30003023,0
381229,femelle,56,1,28.0,0,1-2 an,oui,29200.0,122.0,146,0.6881011,0
381236,femelle,23,1,3.0,0,< 1 an,oui,27852.0,152.0,188,0.5703637,0
381244,femelle,23,1,5.0,0,< 1 an,oui,21026.0,152.0,141,0.56518817,0
381249,male,24,1,8.0,0,< 1 an,oui,2630.0,152.0,123,0.47681022,0
381259,male,29,1,28.0,0,< 1 an,no,2630.0,158.0,194,0.53358746,0
381265,male,22,1,46.0,0,< 1 an,oui,32497.0,152.0,138,0.5054087,0
381269,femelle,23,1,13.0,0,< 1 an,oui,28589.0,152.0,296,0.41503492,0
381270,femelle,53,1,28.0,0,1-2 an,oui,2630.0,152.0,68,0.52813905,0
381271,femelle,67,1,28.0,0,1-2 an,oui,30477.0,26.0,290,0.6462054,0
381276,femelle,27,1,8.0,0,< 1 an,oui,49623.0,152.0,117,0.4501293,0
381278,male,25,1,2.0,0,1-2 an,oui,2630.0,156.0,279,0.678839,0
381281,femelle,20,1,28.0,0,1-2 an,oui,41983.0,124.0,203,0.5594182,0
381288,male,44,1,28.0,0,1-2 an,oui,18082.0,60.0,33,0.6990268,0
381291,male,50,1,30.0,0,1-2 an,oui,35346.0,152.0,61,0.47812682,0
381292,femelle,24,1,41.0,0,< 1 an,oui,46077.0,152.0,62,0.58887595,0
381294,male,27,1,43.0,0,< 1 an,oui,2630.0,152.0,147,0.51413125,0
381301,male,64,1,22.0,0,1-2 an,oui,2630.0,26.0,100,0.56069773,0
381320,femelle,22,1,41.0,0,< 1 an,oui,52604.0,152.0,51,0.52502096,0
381322,male,64,1,47.0,0,1-2 an,oui,29575.0,26.0,264,0.64307654,0
381325,male,36,1,14.0,0,1-2 an,oui,27610.0,152.0,35,0.6252337,0
381327,male,51,1,0.0,0,1-2 an,oui,2630.0,12.0,218,0.64952344,0
381329,male,66,1,2.0,0,1-2 an,oui,35386.0,124.0,129,0.5629325,0
381338,male,51,1,15.0,0,1-2 an,oui,37603.0,124.0,235,0.6946895,0
381353,femelle,48,1,46.0,0,1-2 an,oui,34720.0,11.0,218,0.6173525,0
381360,femelle,67,1,46.0,0,1-2 an,oui,34908.0,26.0,51,0.63277906,0
381367,femelle,43,1,28.0,0,1-2 an,oui,30498.0,152.0,279,0.59599906,0
381372,femelle,71,1,28.0,0,> 2 ans,oui,34462.0,26.0,120,0.6621672,0
381374,male,26,1,28.0,0,< 1 an,oui,30899.0,152.0,119,0.6302097,0
381379,femelle,25,1,36.0,0,< 1 an,oui,42478.0,152.0,45,0.41237825,0
381385,male,24,1,15.0,0,< 1 an,oui,31253.0,152.0,188,0.4850872,0
381389,male,64,1,28.0,0,1-2 an,oui,52823.0,26.0,149,0.6747997,0
381390,femelle,76,1,35.0,0,1-2 an,oui,41134.0,26.0,260,0.51087594,0
381391,male,57,1,16.0,0,1-2 an,oui,26818.0,124.0,91,0.67310005,0
381395,femelle,21,1,49.0,0,< 1 an,oui,19593.0,152.0,86,0.34796128,0
381405,femelle,48,1,28.0,0,1-2 an,oui,56409.0,52.0,103,0.6892356,0
381408,male,68,1,45.0,0,1-2 an,oui,2630.0,26.0,267,0.5720314,0
381411,femelle,20,1,30.0,0,< 1 an,oui,2630.0,156.0,136,0.53224236,0
381412,femelle,21,1,17.0,0,< 1 an,oui,33554.0,152.0,169,0.33013716,0
381413,femelle,23,1,15.0,0,< 1 an,oui,26886.0,152.0,163,0.4082693,0
381414,male,59,1,28.0,0,1-2 an,oui,31231.0,124.0,254,0.66767246,0
381422,male,77,1,28.0,0,1-2 an,oui,61533.0,122.0,73,0.47446206,0
381428,femelle,41,1,28.0,0,1-2 an,oui,38204.0,152.0,127,0.59852326,0
381430,male,38,1,15.0,0,1-2 an,oui,25059.0,152.0,274,0.56457824,0
381431,male,47,1,30.0,0,< 1 an,no,2630.0,1.0,214,0.3399612,0
381432,male,24,1,41.0,0,< 1 an,oui,35554.0,152.0,64,0.6401821,0
381435,male,26,1,28.0,0,< 1 an,oui,42220.0,152.0,280,0.6302097,0
381437,femelle,73,1,28.0,0,1-2 an,oui,43458.0,26.0,95,0.57203114,0
381439,male,21,1,33.0,0,1-2 an,oui,22941.0,156.0,282,0.6422385,0
381441,femelle,64,1,28.0,0,1-2 an,oui,33037.0,26.0,214,0.6645408,0
381443,femelle,49,1,15.0,0,1-2 an,oui,27535.0,152.0,207,0.42536265,0
381447,femelle,21,1,28.0,0,< 1 an,oui,36019.0,152.0,74,0.46415097,0
381455,femelle,22,1,28.0,0,< 1 an,oui,74943.0,152.0,257,0.48057368,0
381456,male,78,1,28.0,0,1-2 an,oui,49093.0,13.0,12,0.47464576,0
381457,femelle,56,1,35.0,0,1-2 an,oui,2630.0,152.0,178,0.45633093,0
381463,male,43,1,31.0,0,> 2 ans,oui,2630.0,9.0,25,0.6678404,0
381464,male,21,1,46.0,0,< 1 an,oui,33621.0,152.0,285,0.43657088,0
381465,femelle,42,1,8.0,0,1-2 an,oui,27635.0,7.0,288,0.6967369,0
381469,male,70,1,28.0,0,1-2 an,oui,30421.0,26.0,62,0.61629415,0
381470,femelle,78,1,28.0,0,> 2 ans,oui,42781.0,26.0,187,0.61921453,0
381476,male,32,1,33.0,0,< 1 an,oui,2630.0,160.0,240,0.42315164,0
381485,male,23,1,15.0,0,< 1 an,oui,36276.0,152.0,287,0.4721487,0
381499,male,22,1,1.0,0,< 1 an,oui,2630.0,152.0,277,0.48797533,0
381517,male,62,1,28.0,0,> 2 ans,oui,41531.0,13.0,156,0.6677321,0
381532,femelle,68,1,28.0,0,> 2 ans,oui,2630.0,157.0,296,0.4959232,0
381536,male,48,1,33.0,0,1-2 an,oui,2630.0,124.0,141,0.69969386,0
381538,male,22,1,28.0,0,1-2 an,oui,31219.0,124.0,253,0.6857483,0
381542,femelle,69,1,41.0,0,1-2 an,oui,35457.0,26.0,292,0.6206105,0
381552,male,21,1,2.0,0,< 1 an,oui,2630.0,152.0,38,0.40537393,0
381554,femelle,58,1,26.0,0,1-2 an,oui,37414.0,26.0,268,0.67325455,0
381556,femelle,33,1,33.0,0,< 1 an,oui,30824.0,152.0,169,0.60409975,0
381563,male,21,1,46.0,0,< 1 an,oui,33809.0,152.0,187,0.43657088,0
381565,male,70,1,28.0,0,1-2 an,oui,48139.0,13.0,111,0.5304661,0
381568,male,69,1,41.0,0,1-2 an,oui,27646.0,26.0,255,0.6260627,0
381570,femelle,69,1,28.0,0,1-2 an,oui,60244.0,26.0,236,0.6289973,0
381573,femelle,23,1,41.0,0,< 1 an,oui,29240.0,152.0,46,0.59024173,0
381578,male,42,1,48.0,0,1-2 an,oui,2630.0,7.0,35,0.68200916,0
381584,male,43,1,0.0,0,1-2 an,oui,2630.0,59.0,217,0.696336,0
381586,femelle,65,1,28.0,0,1-2 an,oui,41131.0,13.0,96,0.570902,0
381587,male,22,1,13.0,0,< 1 an,oui,2630.0,152.0,55,0.43423638,0
381591,male,52,1,31.0,0,1-2 an,oui,2630.0,26.0,161,0.6886311,0
381592,femelle,21,1,30.0,0,< 1 an,oui,26600.0,152.0,296,0.36311442,0
381603,femelle,34,1,11.0,0,1-2 an,no,2630.0,154.0,193,0.5553777,0
381608,male,68,1,28.0,0,1-2 an,oui,43381.0,30.0,12,0.5116426,0
381609,male,55,1,43.0,0,1-2 an,oui,42118.0,124.0,228,0.6510922,0
381611,male,22,1,6.0,0,< 1 an,oui,36108.0,152.0,198,0.47962344,0
381612,femelle,71,1,28.0,0,1-2 an,oui,30062.0,26.0,128,0.59230936,0
381615,femelle,20,1,28.0,0,< 1 an,oui,20803.0,160.0,19,0.30073935,0
381619,male,23,1,42.0,0,< 1 an,oui,26074.0,152.0,236,0.49504805,0
381620,male,22,1,29.0,0,< 1 an,oui,28333.0,152.0,104,0.5967564,0
381630,femelle,24,1,15.0,0,< 1 an,oui,37250.0,152.0,282,0.41877884,0
381639,male,23,1,7.0,0,< 1 an,oui,39758.0,152.0,91,0.60789955,0
381640,femelle,27,1,28.0,0,< 1 an,oui,39203.0,152.0,114,0.628763,0
381645,femelle,23,1,36.0,0,< 1 an,oui,30863.0,151.0,58,0.4201188,0
381653,femelle,25,1,15.0,0,< 1 an,oui,80582.0,152.0,184,0.36527795,0
